SurfaceDateTime(local),Spot,Underlying,IsFx,Default Fit,Object for Under,Model,Start Date,End Date,Var from Surface (0 Basis),Var from surface + (T-1) Basis,,Var from Surface (0 Basis),Marked Var,Marked Var,Marked Basis,,,Leader/Follower,,Old Marked Var Fn,New Market Var Fn,
 4/1/2016 3:15:00 PM   _3387,1301.4,TPX,Eq,SVI, TPX   _3109,SVI,,12/8/2017,28.6%,#VALUE!,,26.7%,,26.57%,-0.1%,,,Follower,,,26.57%,0.00%
 4/1/2016 3:15:00 PM   _3388,1301.4,TPX,Eq,SVI, TPX   _3110,SVI,,6/8/2018,28.5%,#VALUE!,,26.9%,,26.58%,-0.3%,,,Follower,,,26.58%,0.00%
 4/1/2016 3:15:00 PM   _3389,1301.4,TPX,Eq,SVI, TPX   _3111,SVI,,12/14/2018,28.5%,#VALUE!,,27.1%,,26.44%,-0.7%,,,Follower,,,26.44%,0.00%
 4/1/2016 3:15:00 PM   _3390,1301.4,TPX,Eq,SVI, TPX   _3112,SVI,,6/14/2019,28.6%,#VALUE!,,27.4%,,26.62%,-0.8%,,,Follower,,,26.62%,0.00%
 4/1/2016 3:15:00 PM   _3391,1301.4,TPX,Eq,SVI, TPX   _3113,SVI,,12/13/2019,28.8%,#VALUE!,,27.6%,,26.67%,-0.9%,,,Follower,,,26.67%,0.00%
 4/1/2016 3:15:00 PM   _3392,1301.4,TPX,Eq,SVI, TPX   _3115,SVI,,12/11/2020,29.1%,#VALUE!,,28.0%,,26.47%,-1.6%,,,Follower,,,26.47%,0.00%
 4/1/2016 11:14:14 AM   _3393,4322.24,CAC,Eq,SVI, CAC   _3114,SVI,,6/17/2016,24.0%,#VALUE!,,22.9%,,24.65%,1.7%,,CAC,Follower,,,24.65%,0.00%
 4/1/2016 11:14:14 AM   _3394,9794.64,DAX,Eq,SVI, DAX   _3116,SVI,,6/17/2016,24.4%,#VALUE!,,23.5%,,25.21%,1.7%,,DAX,Follower,,,25.21%,0.00%
 4/1/2016 11:14:14 AM   _3395,9794.64,DAX,Eq,SVI, DAX   _3117,SVI,,9/16/2016,25.2%,#VALUE!,,24.7%,,26.51%,1.8%,,,Follower,,,26.51%,0.00%
 4/1/2016 11:14:14 AM   _3396,9794.64,DAX,Eq,SVI, DAX   _3118,SVI,,12/16/2016,25.1%,#VALUE!,,25.8%,,26.69%,0.9%,,,Follower,,,26.69%,0.00%
 4/1/2016 11:14:14 AM   _3397,9794.64,DAX,Eq,SVI, DAX   _3119,SVI,,3/17/2017,25.6%,#VALUE!,,25.1%,,27.06%,1.9%,,,Follower,,,27.06%,0.00%
 4/1/2016 11:14:14 AM   _3398,9794.64,DAX,Eq,SVI, DAX   _3121,SVI,,6/16/2017,25.3%,#VALUE!,,25.0%,,26.97%,2.0%,,,Follower,,,26.97%,0.00%
 4/1/2016 11:14:14 AM   _3399,9794.64,DAX,Eq,SVI, DAX   _3120,SVI,,9/15/2017,25.0%,#VALUE!,,25.3%,,27.29%,2.0%,,,Follower,,,27.29%,0.00%
 4/1/2016 11:14:14 AM   _3400,9794.64,DAX,Eq,SVI, DAX   _3122,SVI,,12/15/2017,24.9%,#VALUE!,,25.4%,,27.56%,2.1%,,,Follower,,,27.56%,0.00%
 4/1/2016 11:14:14 AM   _3401,9794.64,DAX,Eq,SVI, DAX   _3123,SVI,,6/15/2018,24.1%,#VALUE!,,22.6%,,27.74%,5.1%,,,Follower,,,27.74%,0.00%
 4/1/2016 11:14:14 AM   _3402,9794.64,DAX,Eq,SVI, DAX   _3124,SVI,,12/21/2018,25.9%,#VALUE!,,24.5%,,27.96%,3.5%,,,Follower,,,27.96%,0.00%
 4/1/2016 11:14:14 AM   _3403,9794.64,DAX,Eq,SVI, DAX   _3125,SVI,,6/21/2019,26.1%,#VALUE!,,24.6%,,28.46%,3.9%,,,Follower,,,28.46%,0.00%
 4/1/2016 11:14:14 AM   _3404,9794.64,DAX,Eq,SVI, DAX   _3126,SVI,,12/20/2019,26.4%,#VALUE!,,24.7%,,28.81%,4.1%,,,Follower,,,28.81%,0.00%
 4/1/2016 3:44:20 PM   _3405,34.16,EEM UP,Eq,Steffen, EEM UP   _3127,Steffen,,6/18/2016,23.3%,#VALUE!,,23.2%,,23.46%,0.3%,,EEM UP,Follower,,,23.46%,0.00%
 4/1/2016 3:44:20 PM   _3406,34.16,EEM UP,Eq,Steffen, EEM UP   _3128,Steffen,,9/17/2016,24.9%,#VALUE!,,24.6%,,25.21%,0.6%,,,Follower,,,25.21%,0.00%
 4/1/2016 3:44:20 PM   _3407,34.16,EEM UP,Eq,Steffen, EEM UP   _3129,Steffen,,12/17/2016,26.1%,#VALUE!,,25.7%,,26.25%,0.6%,,,Follower,,,26.25%,0.00%
 4/1/2016 3:44:20 PM   _3408,34.16,EEM UP,Eq,Steffen, EEM UP   _3131,Steffen,,1/21/2017,26.6%,#VALUE!,,26.2%,,26.84%,0.6%,,,Follower,,,26.84%,0.00%
 4/1/2016 3:44:20 PM   _3409,34.16,EEM UP,Eq,Steffen, EEM UP   _3130,Steffen,,3/18/2017,26.1%,#VALUE!,,25.9%,,27.66%,1.7%,,,Follower,,,27.66%,0.00%
 4/1/2016 3:44:20 PM   _3410,34.16,EEM UP,Eq,Steffen, EEM UP   _3133,Steffen,,1/20/2018,26.9%,#VALUE!,,26.9%,,28.54%,1.7%,,,Follower,,,28.54%,0.00%
 4/1/2016 3:44:29 PM   _3411,11.13,EWJ UP,Eq,Steffen, EWJ UP   _3132,Steffen,,4/15/2016,18.9%,#VALUE!,,16.9%,,18.08%,1.2%,,EWJ UP,Follower,,,18.08%,0.00%
 4/1/2016 3:44:29 PM   _3412,11.13,EWJ UP,Eq,Steffen, EWJ UP   _3135,Steffen,,6/17/2016,20.7%,#VALUE!,,20.4%,,21.82%,1.5%,,,Follower,,,21.82%,0.00%
 4/1/2016 3:44:29 PM   _3413,11.13,EWJ UP,Eq,Steffen, EWJ UP   _3134,Steffen,,9/16/2016,23.1%,#VALUE!,,22.3%,,23.33%,1.0%,,,Follower,,,23.33%,0.00%
 4/1/2016 3:44:29 PM   _3414,11.13,EWJ UP,Eq,Steffen, EWJ UP   _3137,Steffen,,1/20/2017,25.0%,#VALUE!,,24.8%,,24.64%,-0.2%,,,Follower,,,24.64%,0.00%
 4/1/2016 3:44:27 PM   _3415,20.1,GDX UP,Eq,Steffen, GDX UP   _3136,Steffen,,6/17/2016,46.7%,#VALUE!,,46.8%,,46.53%,-0.3%,,GDX UP,Follower,,,46.53%,0.00%
 4/1/2016 3:44:27 PM   _3416,20.1,GDX UP,Eq,Steffen, GDX UP   _3138,Steffen,,1/20/2017,46.3%,#VALUE!,,46.2%,,46.41%,0.2%,,,Follower,,,46.41%,0.00%
 4/1/2016 4:00:00 PM   _3417,8842.86,HSCEI,Eq,SVI, HSCEI   _3139,SVI,,6/29/2016,30.5%,#VALUE!,,28.9%,,29.97%,1.1%,,HSCEI,Follower,,,29.97%,0.00%
 4/1/2016 4:00:00 PM   _3418,8842.86,HSCEI,Eq,SVI, HSCEI   _3140,SVI,,9/29/2016,31.7%,#VALUE!,,30.3%,,30.83%,0.6%,,,Follower,,,30.83%,0.00%
 4/1/2016 4:00:00 PM   _3419,8842.86,HSCEI,Eq,SVI, HSCEI   _3141,SVI,,12/29/2016,33.8%,#VALUE!,,32.4%,,31.69%,-0.7%,,,Follower,,,31.69%,0.00%
 4/1/2016 4:00:00 PM   _3420,8842.86,HSCEI,Eq,SVI, HSCEI   _3142,SVI,,3/30/2017,33.8%,#VALUE!,,32.6%,,32.07%,-0.5%,,,Follower,,,32.07%,0.00%
 4/1/2016 4:00:00 PM   _3421,8842.86,HSCEI,Eq,SVI, HSCEI   _3143,SVI,,6/29/2017,33.9%,#VALUE!,,32.8%,,32.67%,-0.1%,,,Follower,,,32.67%,0.00%
 4/1/2016 4:00:00 PM   _3422,8842.86,HSCEI,Eq,SVI, HSCEI   _3144,SVI,,12/28/2017,33.5%,#VALUE!,,32.5%,,33.30%,0.8%,,,Follower,,,33.30%,0.00%
 3/31/2016 11:35:00 AM   _3423,8602.3,IBEX,Eq,SVI, IBEX   _3145,SVI,,6/17/2016,28.7%,#VALUE!,,28.6%,,27.50%,-1.1%,,IBEX,Follower,,,27.50%,0.00%
 4/1/2016 3:44:22 PM   _3424,4532.082,NDX,Eq,SVI, NDX   _3147,SVI,,6/17/2016,17.7%,#VALUE!,,18.5%,,19.09%,0.6%,,NDX,Follower,,,19.09%,0.00%
 4/1/2016 3:44:22 PM   _3425,4532.082,NDX,Eq,SVI, NDX   _3146,SVI,,9/16/2016,19.8%,#VALUE!,,20.3%,,20.71%,0.4%,,,Follower,,,20.71%,0.00%
 4/1/2016 3:44:22 PM   _3426,4532.082,NDX,Eq,SVI, NDX   _3148,SVI,,12/16/2016,21.0%,#VALUE!,,21.4%,,21.68%,0.3%,,,Follower,,,21.68%,0.00%
 4/1/2016 3:44:22 PM   _3427,4532.082,NDX,Eq,SVI, NDX   _3149,SVI,,3/17/2017,21.7%,#VALUE!,,22.1%,,22.48%,0.3%,,,Follower,,,22.48%,0.00%
 4/1/2016 3:44:22 PM   _3428,4532.082,NDX,Eq,SVI, NDX   _3150,SVI,,6/16/2017,22.6%,#VALUE!,,23.0%,,23.16%,0.2%,,,Follower,,,23.16%,0.00%
 4/1/2016 3:44:22 PM   _3429,4532.082,NDX,Eq,SVI, NDX   _3151,SVI,,12/15/2017,23.7%,#VALUE!,,24.1%,,24.16%,0.1%,,,Follower,,,24.16%,0.00%
 4/1/2016 3:44:43 PM   _3430,1117.684,RTY,Eq,SVI, RTY   _3152,SVI,,6/18/2016,19.7%,#VALUE!,,19.5%,,20.25%,0.7%,,RTY,Follower,,,20.25%,0.00%
 4/1/2016 3:44:43 PM   _3431,1117.684,RTY,Eq,SVI, RTY   _3153,SVI,,9/17/2016,21.4%,#VALUE!,,21.1%,,21.99%,0.9%,,,Follower,,,21.99%,0.00%
 4/1/2016 3:44:43 PM   _3432,1117.684,RTY,Eq,SVI, RTY   _3154,SVI,,12/17/2016,22.3%,#VALUE!,,22.2%,,22.94%,0.8%,,,Follower,,,22.94%,0.00%
 4/1/2016 3:44:43 PM   _3433,1117.684,RTY,Eq,SVI, RTY   _3155,SVI,,3/18/2017,23.2%,#VALUE!,,23.1%,,23.70%,0.6%,,,Follower,,,23.70%,0.00%
 4/1/2016 3:44:43 PM   _3434,1117.684,RTY,Eq,SVI, RTY   _3156,SVI,,6/17/2017,23.9%,#VALUE!,,23.8%,,24.38%,0.6%,,,Follower,,,24.38%,0.00%
 4/1/2016 3:44:43 PM   _3435,1117.684,RTY,Eq,SVI, RTY   _3157,SVI,,12/16/2017,25.0%,#VALUE!,,24.8%,,25.14%,0.3%,,,Follower,,,25.14%,0.00%
 4/1/2016 3:41:31 PM   _3436,206.91,SPY UP,Eq,SVI, SPY UP   _3158,SVI,,4/15/2016,11.0%,#VALUE!,,11.9%,,12.81%,0.9%,,SPY UP,Follower,,,12.81%,0.00%
 4/1/2016 3:41:31 PM   _3437,206.91,SPY UP,Eq,SVI, SPY UP   _3159,SVI,,6/17/2016,15.5%,#VALUE!,,16.1%,,16.97%,0.8%,,,Follower,,,16.97%,0.00%
 4/1/2016 3:41:31 PM   _3438,206.91,SPY UP,Eq,SVI, SPY UP   _3160,SVI,,9/16/2016,17.8%,#VALUE!,,18.3%,,18.99%,0.7%,,,Follower,,,18.99%,0.00%
 4/1/2016 3:41:31 PM   _3439,206.91,SPY UP,Eq,SVI, SPY UP   _3161,SVI,,12/16/2016,19.0%,#VALUE!,,19.4%,,19.89%,0.5%,,,Follower,,,19.89%,0.00%
 4/1/2016 3:41:31 PM   _3440,206.91,SPY UP,Eq,SVI, SPY UP   _3162,SVI,,1/20/2017,19.2%,#VALUE!,,19.6%,,20.12%,0.5%,,,Follower,,,20.12%,0.00%
 4/1/2016 3:41:31 PM   _3441,206.91,SPY UP,Eq,SVI, SPY UP   _3163,SVI,,3/17/2017,19.8%,#VALUE!,,20.2%,,20.56%,0.4%,,,Follower,,,20.56%,0.00%
 4/1/2016 11:14:13 AM   _3442,100.13,SX7E,Eq,SVI, SX7E   _3164,SVI,,4/15/2016,36.1%,#VALUE!,,35.1%,,33.66%,-1.4%,,SX7E,Follower,,,33.66%,0.00%
 4/1/2016 11:14:13 AM   _3443,100.13,SX7E,Eq,SVI, SX7E   _3166,SVI,,12/16/2016,38.6%,#VALUE!,,37.9%,,39.06%,1.2%,,,Follower,,,39.06%,0.00%
 3/31/2016 1:45:00 PM   _3444,8657.55,TWSE,Eq,SVI, TWSE   _3165,SVI,,6/15/2016,19.0%,#VALUE!,,18.6%,,18.34%,-0.2%,,TWSE,Follower,,,18.34%,0.00%
 3/31/2016 1:45:00 PM   _3445,8657.55,TWSE,Eq,SVI, TWSE   _3167,SVI,,9/14/2016,19.6%,#VALUE!,,19.3%,,19.80%,0.5%,,,Follower,,,19.80%,0.00%
 3/31/2016 1:45:00 PM   _3446,8657.55,TWSE,Eq,SVI, TWSE   _3168,SVI,,12/14/2016,19.7%,#VALUE!,,19.5%,,21.10%,1.6%,,,Follower,,,21.10%,0.00%
 3/31/2016 1:45:00 PM   _3447,8657.55,TWSE,Eq,SVI, TWSE   _3169,SVI,,3/15/2017,19.9%,#VALUE!,,19.7%,,22.00%,2.3%,,,Follower,,,22.00%,0.00%
 4/1/2016 3:43:42 PM   _3448,45.09,XLB UP,Eq,Steffen, XLB UP   _3170,Steffen,,6/17/2016,19.9%,#VALUE!,,19.7%,,19.99%,0.3%,,XLB UP,Follower,,,19.99%,0.00%
 4/1/2016 3:43:42 PM   _3449,45.09,XLB UP,Eq,Steffen, XLB UP   _3171,Steffen,,9/16/2016,20.9%,#VALUE!,,21.1%,,21.24%,0.2%,,,Follower,,,21.24%,0.00%
 4/1/2016 3:43:42 PM   _3450,45.09,XLB UP,Eq,Steffen, XLB UP   _3172,Steffen,,12/16/2016,21.9%,#VALUE!,,21.9%,,22.07%,0.2%,,,Follower,,,22.07%,0.00%
 4/1/2016 3:43:42 PM   _3451,45.09,XLB UP,Eq,Steffen, XLB UP   _3173,Steffen,,1/20/2017,22.1%,#VALUE!,,22.0%,,22.21%,0.2%,,,Follower,,,22.21%,0.00%
 4/1/2016 3:43:42 PM   _3452,45.09,XLB UP,Eq,Steffen, XLB UP   _3174,Steffen,,3/17/2017,22.5%,#VALUE!,,22.5%,,22.89%,0.4%,,,Follower,,,22.89%,0.00%
 4/1/2016 3:43:42 PM   _3453,61,XLE UP,Eq,Steffen, XLE UP   _3175,Steffen,,6/18/2016,26.5%,#VALUE!,,25.8%,,26.18%,0.4%,,XLE UP,Follower,,,26.18%,0.00%
 4/1/2016 3:43:42 PM   _3454,61,XLE UP,Eq,Steffen, XLE UP   _3176,Steffen,,9/17/2016,27.2%,#VALUE!,,26.7%,,26.71%,0.0%,,,Follower,,,26.71%,0.00%
 4/1/2016 3:43:42 PM   _3455,61,XLE UP,Eq,Steffen, XLE UP   _3177,Steffen,,12/17/2016,25.9%,#VALUE!,,25.6%,,26.45%,0.8%,,,Follower,,,26.45%,0.00%
 4/1/2016 3:43:42 PM   _3456,61,XLE UP,Eq,Steffen, XLE UP   _3179,Steffen,,1/21/2017,26.6%,#VALUE!,,26.4%,,26.48%,0.1%,,,Follower,,,26.48%,0.00%
 4/1/2016 3:43:42 PM   _3457,61,XLE UP,Eq,Steffen, XLE UP   _3178,Steffen,,3/18/2017,24.8%,#VALUE!,,26.3%,,26.76%,0.4%,,,Follower,,,26.76%,0.00%
 4/1/2016 3:43:42 PM   _3458,61,XLE UP,Eq,Steffen, XLE UP   _3180,Steffen,,1/20/2018,26.3%,#VALUE!,,26.4%,,27.42%,1.1%,,,Follower,,,27.42%,0.00%
 4/1/2016 3:43:42 PM   _3459,22.7,XLF UP,Eq,Steffen, XLF UP   _3181,Steffen,,6/18/2016,19.5%,#VALUE!,,19.1%,,20.23%,1.2%,,XLF UP,Follower,,,20.23%,0.00%
 4/1/2016 3:43:42 PM   _3460,22.7,XLF UP,Eq,Steffen, XLF UP   _3182,Steffen,,9/17/2016,20.5%,#VALUE!,,20.8%,,20.78%,0.0%,,,Follower,,,20.78%,0.00%
 4/1/2016 3:43:42 PM   _3461,22.7,XLF UP,Eq,Steffen, XLF UP   _3183,Steffen,,12/17/2016,21.9%,#VALUE!,,22.1%,,22.03%,0.0%,,,Follower,,,22.03%,0.00%
 4/1/2016 3:43:42 PM   _3462,22.7,XLF UP,Eq,Steffen, XLF UP   _3184,Steffen,,1/21/2017,22.1%,#VALUE!,,22.5%,,22.71%,0.2%,,,Follower,,,22.71%,0.00%
 4/1/2016 3:43:42 PM   _3463,22.7,XLF UP,Eq,Steffen, XLF UP   _3185,Steffen,,3/18/2017,21.5%,#VALUE!,,21.6%,,23.08%,1.5%,,,Follower,,,23.08%,0.00%
 4/1/2016 3:43:20 PM   _3464,55.56,XLI UP,Eq,Steffen, XLI UP   _3186,Steffen,,6/18/2016,17.5%,#VALUE!,,17.1%,,17.68%,0.5%,,XLI UP,Follower,,,17.68%,0.00%
 4/1/2016 3:43:20 PM   _3465,55.56,XLI UP,Eq,Steffen, XLI UP   _3187,Steffen,,9/17/2016,18.8%,#VALUE!,,18.5%,,19.05%,0.5%,,,Follower,,,19.05%,0.00%
 4/1/2016 3:43:20 PM   _3466,55.56,XLI UP,Eq,Steffen, XLI UP   _3189,Steffen,,12/17/2016,20.0%,#VALUE!,,19.4%,,19.84%,0.4%,,,Follower,,,19.84%,0.00%
 4/1/2016 3:43:20 PM   _3467,55.56,XLI UP,Eq,Steffen, XLI UP   _3188,Steffen,,1/21/2017,20.3%,#VALUE!,,19.6%,,20.12%,0.5%,,,Follower,,,20.12%,0.00%
 4/1/2016 3:43:20 PM   _3468,55.56,XLI UP,Eq,Steffen, XLI UP   _3191,Steffen,,3/18/2017,20.6%,#VALUE!,,20.0%,,20.64%,0.6%,,,Follower,,,20.64%,0.00%
 4/1/2016 3:43:20 PM   _3469,44.7,XLK UP,Eq,Steffen, XLK UP   _3190,Steffen,,6/18/2016,17.0%,#VALUE!,,17.2%,,17.71%,0.5%,,XLK UP,Follower,,,17.71%,0.00%
 4/1/2016 3:43:20 PM   _3470,44.7,XLK UP,Eq,Steffen, XLK UP   _3192,Steffen,,9/17/2016,18.7%,#VALUE!,,18.9%,,19.47%,0.6%,,,Follower,,,19.47%,0.00%
 4/1/2016 3:43:20 PM   _3471,44.7,XLK UP,Eq,Steffen, XLK UP   _3193,Steffen,,12/17/2016,19.6%,#VALUE!,,19.8%,,20.31%,0.5%,,,Follower,,,20.31%,0.00%
 4/1/2016 3:43:20 PM   _3472,44.7,XLK UP,Eq,Steffen, XLK UP   _3194,Steffen,,1/21/2017,19.8%,#VALUE!,,20.0%,,20.43%,0.5%,,,Follower,,,20.43%,0.00%
 4/1/2016 3:43:20 PM   _3473,44.7,XLK UP,Eq,Steffen, XLK UP   _3196,Steffen,,3/18/2017,20.4%,#VALUE!,,20.6%,,21.11%,0.5%,,,Follower,,,21.11%,0.00%
 4/1/2016 3:43:20 PM   _3474,53.75,XLP UP,Eq,Steffen, XLP UP   _3195,Steffen,,6/18/2016,13.6%,#VALUE!,,13.9%,,14.02%,0.2%,,XLP UP,Follower,,,14.02%,0.00%
 4/1/2016 3:43:20 PM   _3475,53.75,XLP UP,Eq,Steffen, XLP UP   _3198,Steffen,,9/17/2016,15.0%,#VALUE!,,15.3%,,15.54%,0.3%,,,Follower,,,15.54%,0.00%
 4/1/2016 3:43:20 PM   _3476,53.75,XLP UP,Eq,Steffen, XLP UP   _3197,Steffen,,12/17/2016,15.9%,#VALUE!,,16.3%,,15.78%,-0.5%,,,Follower,,,15.78%,0.00%
 4/1/2016 3:43:20 PM   _3477,53.75,XLP UP,Eq,Steffen, XLP UP   _3199,Steffen,,1/21/2017,16.1%,#VALUE!,,16.5%,,16.00%,-0.5%,,,Follower,,,16.00%,0.00%
 4/1/2016 3:43:20 PM   _3478,53.75,XLP UP,Eq,Steffen, XLP UP   _3201,Steffen,,3/18/2017,16.5%,#VALUE!,,16.8%,,17.34%,0.5%,,,Follower,,,17.34%,0.00%
 4/1/2016 3:44:35 PM   _3479,49.81,XLU UP,Eq,Steffen, XLU UP   _3200,Steffen,,6/17/2016,15.8%,#VALUE!,,16.2%,,16.48%,0.3%,,XLU UP,Follower,,,16.48%,0.00%
 4/1/2016 3:44:35 PM   _3480,49.81,XLU UP,Eq,Steffen, XLU UP   _3202,Steffen,,9/16/2016,17.3%,#VALUE!,,17.4%,,17.06%,-0.3%,,,Follower,,,17.06%,0.00%
 4/1/2016 3:44:35 PM   _3481,49.81,XLU UP,Eq,Steffen, XLU UP   _3203,Steffen,,12/16/2016,17.6%,#VALUE!,,17.8%,,17.64%,-0.1%,,,Follower,,,17.64%,0.00%
 4/1/2016 3:44:35 PM   _3482,49.81,XLU UP,Eq,Steffen, XLU UP   _3204,Steffen,,1/20/2017,17.7%,#VALUE!,,17.8%,,18.08%,0.2%,,,Follower,,,18.08%,0.00%
 4/1/2016 3:44:35 PM   _3483,49.81,XLU UP,Eq,Steffen, XLU UP   _3205,Steffen,,3/17/2017,18.0%,#VALUE!,,18.2%,,18.25%,0.1%,,,Follower,,,18.25%,0.00%
 4/1/2016 3:44:35 PM   _3484,68.66,XLV UP,Eq,Steffen, XLV UP   _3206,Steffen,,6/18/2016,16.7%,#VALUE!,,17.1%,,17.51%,0.4%,,XLV UP,Follower,,,17.51%,0.00%
 4/1/2016 3:44:35 PM   _3485,68.66,XLV UP,Eq,Steffen, XLV UP   _3207,Steffen,,9/17/2016,18.4%,#VALUE!,,18.6%,,18.94%,0.3%,,,Follower,,,18.94%,0.00%
 4/1/2016 3:44:35 PM   _3486,68.66,XLV UP,Eq,Steffen, XLV UP   _3208,Steffen,,12/17/2016,19.7%,#VALUE!,,19.9%,,20.17%,0.3%,,,Follower,,,20.17%,0.00%
 4/1/2016 3:44:35 PM   _3487,68.66,XLV UP,Eq,Steffen, XLV UP   _3209,Steffen,,1/21/2017,19.9%,#VALUE!,,20.1%,,20.44%,0.3%,,,Follower,,,20.44%,0.00%
 4/1/2016 3:44:35 PM   _3488,68.66,XLV UP,Eq,Steffen, XLV UP   _3210,Steffen,,3/18/2017,20.3%,#VALUE!,,20.5%,,20.98%,0.5%,,,Follower,,,20.98%,0.00%
 4/1/2016 3:44:35 PM   _3489,79.43,XLY UP,Eq,Steffen, XLY UP   _3211,Steffen,,6/18/2016,17.7%,#VALUE!,,17.6%,,17.80%,0.2%,,XLY UP,Follower,,,17.80%,0.00%
 4/1/2016 3:44:35 PM   _3490,79.43,XLY UP,Eq,Steffen, XLY UP   _3212,Steffen,,9/17/2016,19.0%,#VALUE!,,19.0%,,19.13%,0.1%,,,Follower,,,19.13%,0.00%
 4/1/2016 3:44:35 PM   _3491,79.43,XLY UP,Eq,Steffen, XLY UP   _3213,Steffen,,12/17/2016,20.3%,#VALUE!,,19.9%,,20.04%,0.1%,,,Follower,,,20.04%,0.00%
 4/1/2016 3:44:35 PM   _3492,79.43,XLY UP,Eq,Steffen, XLY UP   _3214,Steffen,,1/21/2017,20.6%,#VALUE!,,20.1%,,21.00%,0.9%,,,Follower,,,21.00%,0.00%
 4/1/2016 3:44:35 PM   _3493,79.43,XLY UP,Eq,Steffen, XLY UP   _3215,Steffen,,3/18/2017,20.9%,#VALUE!,,20.6%,,21.28%,0.7%,,,Follower,,,21.28%,0.00%
 4/1/2016 3:44:31 PM   _3494,20.58,XME UP,Eq,Steffen, XME UP   _3216,Steffen,,6/17/2016,42.6%,#VALUE!,,42.6%,,42.70%,0.1%,,XME UP,Follower,,,42.70%,0.00%
 4/1/2016 3:44:31 PM   _3495,20.58,XME UP,Eq,Steffen, XME UP   _3217,Steffen,,9/16/2016,43.4%,#VALUE!,,43.4%,,43.25%,-0.1%,,,Follower,,,43.25%,0.00%
 4/1/2016 3:44:31 PM   _3496,20.58,XME UP,Eq,Steffen, XME UP   _3218,Steffen,,12/16/2016,43.7%,#VALUE!,,44.3%,,42.99%,-1.3%,,,Follower,,,42.99%,0.00%
 4/1/2016 3:44:31 PM   _3497,20.58,XME UP,Eq,Steffen, XME UP   _3219,Steffen,,1/20/2017,43.9%,#VALUE!,,44.6%,,42.80%,-1.8%,,,Follower,,,42.80%,0.00%
 4/1/2016 3:44:31 PM   _3498,20.58,XME UP,Eq,Steffen, XME UP   _3220,Steffen,,3/17/2017,43.5%,#VALUE!,,44.9%,,43.84%,-1.0%,,,Follower,,,43.84%,0.00%
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,,#N/A,#VALUE!,#N/A,#VALUE!,,,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,,,,,#VALUE!,#VALUE!
