SurfaceDateTime(local),Spot,Underlying,IsFx,Default Fit,Object for Under,Model,Start Date,End Date,Var from Surface (0 Basis),Var from surface + (T-1) Basis,,Var from Surface (0 Basis),Marked Var,Marked Var,Marked Basis,,,Leader/Follower,,Old Marked Var Fn,New Market Var Fn,
 4/1/2016 3:44:57 PM   _3303,2072.78,SPX,Eq,SVI, SPX   _3025,SmoothVarWESVI,,1/21/2017,19.7%,#VALUE!,,20.1%,,20.05%,0.0%,,,Leader,,,20.05%,0.00%
 4/1/2016 3:44:57 PM   _3304,2072.78,SPX,Eq,SVI, SPX   _3026,SmoothVarWESVI,,2/18/2017,19.9%,#VALUE!,,20.3%,,,#VALUE!,,,Leader,,,#VALUE!,#VALUE!
 4/1/2016 3:44:57 PM   _3305,2072.78,SPX,Eq,SVI, SPX   _3027,SmoothVarWESVI,,3/18/2017,20.2%,#VALUE!,,20.5%,,20.55%,0.0%,,,Leader,,,20.55%,0.00%
 4/1/2016 3:44:57 PM   _3306,2072.78,SPX,Eq,SVI, SPX   _3028,SmoothVarWESVI,,6/17/2017,20.8%,#VALUE!,,21.2%,,21.11%,-0.1%,,,Leader,,,21.11%,0.00%
 4/1/2016 3:44:57 PM   _3307,2072.78,SPX,Eq,SVI, SPX   _3029,SmoothVarWESVI,,9/16/2017,21.3%,#VALUE!,,21.6%,,21.49%,-0.1%,,,Leader,,,21.49%,0.00%
 4/1/2016 3:44:57 PM   _3308,2072.78,SPX,Eq,SVI, SPX   _3031,SmoothVarWESVI,,12/16/2017,21.8%,#VALUE!,,22.0%,,21.76%,-0.2%,,,Leader,,,21.76%,0.00%
 4/1/2016 3:44:57 PM   _3309,2072.78,SPX,Eq,SVI, SPX   _3032,SmoothVarWESVI,,1/20/2018,21.9%,#VALUE!,,22.2%,,21.87%,-0.3%,,,Leader,,,21.87%,0.00%
 4/1/2016 3:44:57 PM   _3310,2072.78,SPX,Eq,SVI, SPX   _3030,SmoothVarWESVI,,6/16/2018,22.5%,#VALUE!,,22.8%,,22.29%,-0.5%,,,Leader,,,22.29%,0.00%
 4/1/2016 3:44:57 PM   _3311,2072.78,SPX,Eq,SVI, SPX   _3033,SmoothVarWESVI,,12/22/2018,23.2%,#VALUE!,,23.5%,,22.77%,-0.8%,,,Leader,,,22.77%,0.00%
 4/1/2016 3:44:57 PM   _3312,2072.78,SPX,Eq,SVI, SPX   _3035,SmoothVarWESVI,,6/22/2019,23.4%,#VALUE!,,23.7%,,23.30%,-0.4%,,,Leader,,,23.30%,0.00%
 4/1/2016 3:44:57 PM   _3313,2072.78,SPX,Eq,SVI, SPX   _3034,SmoothVarWESVI,,12/21/2019,23.5%,#VALUE!,,23.9%,,23.72%,-0.2%,,,Leader,,,23.72%,0.00%
 4/1/2016 3:44:57 PM   _3314,2072.78,SPX,Eq,SVI, SPX   _3036,SmoothVarWESVI,,12/18/2020,23.9%,#VALUE!,,24.3%,,24.53%,0.2%,,,Leader,,,24.53%,0.00%
 4/1/2016 11:14:26 AM   _3315,2953.28,SX5E,Eq,SVI, SX5E   _3037,SVI,,4/15/2016,23.2%,#VALUE!,,21.0%,,22.37%,1.4%,,SX5E,Leader,,,22.37%,0.00%
 4/1/2016 11:14:26 AM   _3316,2953.28,SX5E,Eq,SVI, SX5E   _3038,SVI,,5/20/2016,24.5%,#VALUE!,,23.1%,,24.30%,1.2%,,,Leader,,,24.30%,0.00%
 4/1/2016 11:14:26 AM   _3317,2953.28,SX5E,Eq,SVI, SX5E   _3039,SVI,,6/17/2016,25.2%,#VALUE!,,24.2%,,25.28%,1.1%,,,Leader,,,25.28%,0.00%
 4/1/2016 11:14:26 AM   _3318,2953.28,SX5E,Eq,SVI, SX5E   _3040,SVI,,7/15/2016,25.5%,#VALUE!,,24.7%,,26.18%,1.5%,,,Leader,,,26.18%,0.00%
 4/1/2016 11:14:26 AM   _3319,2953.28,SX5E,Eq,SVI, SX5E   _3041,SVI,,8/19/2016,25.8%,#VALUE!,,25.1%,,26.60%,1.5%,,,Leader,,,26.60%,0.00%
